artist,genres,followers,popularity
Billy Ray Cyrus,['country rock'],253539,63
GAIA,"['trance', 'uplifting trance']",104167,52
Melanie Martinez,"['alt z', 'electropop', 'pop']",21367455,80
Roxette,"['europop', 'swedish pop', 'synthpop']",2345711,74
Dedublüman,['turkce slow sarkilar'],1525754,72
Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']",33825642,84
Sonny Fodera,"['house', 'pop dance', 'uk dance']",217860,70
Billie Eilish,"['art pop', 'pop']",100485485,96
Wisin & Yandel,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']",7753869,80
Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",22883431,87
Sammy Rae & The Friends,['nyc pop'],205612,57
Ms. Lauryn Hill,"['alternative r&b', 'conscious hip hop', 'hip hop', 'neo soul', 'new jersey rap', 'r&b']",3076084,74
Aitana,"['latin talent show', 'latin viral pop', 'spanish pop']",3087330,74
Tommy Richman,['chill abstract hip hop'],726230,80
ANNA,"['italian hip hop', 'italian pop']",1061718,77
NLE Choppa,"['memphis hip hop', 'rap']",8666705,79
Gigi Perez,['bedroom pop'],298723,77
OBOY,"['french hip hop', 'pop urbaine', 'rap francais']",935466,69
ECKO,"['argentine hip hop', 'trap argentino']",1309496,67
GIMS,"['french hip hop', 'pop urbaine', 'r&b francais', 'rap conscient']",4905498,80
Omega,['rap dominicano'],240940,64
Andrés Calamaro,"['argentine rock', 'cantautor', 'latin alternative', 'pop argentino', 'rock en espanol']",2568954,72
Nicki Nicole,"['argentine hip hop', 'r&b argentino', 'trap argentino', 'trap latino', 'urbano latino']",7577221,80
Pete Rock,"['east coast hip hop', 'instrumental hip hop', 'jazz rap']",359954,55
Massive Attack,"['downtempo', 'electronica', 'trip hop']",2291102,68
Jay Wheeler,"['reggaeton', 'trap latino', 'urbano latino']",4367664,80
Kacey Musgraves,"['classic texas country', 'contemporary country', 'country dawn']",1481767,78
The Vaccines,"['british indie rock', 'garage rock', 'indie rock', 'modern rock', 'rock', 'scottish rock']",785564,58
Little Big Town,"['contemporary country', 'country', 'country dawn', 'country road']",2807554,63
Manolo Garcia,"['cantautor', 'pop flamenco', 'spanish new wave', 'spanish pop']",642118,59
Laura Pausini,"['europop', 'italian adult pop', 'latin arena pop', 'mexican pop']",2609369,73
D.O.D,"['electro house', 'house', 'pop dance', 'uk dance']",90893,70
Leño,"['cantautor', 'spanish new wave', 'spanish punk']",125571,42
Casey MQ,['bubblegum bass'],8283,35
Djadja & Dinaz,"['french hip hop', 'pop urbaine', 'rap conscient']",2848888,69
ERNEST,['modern country pop'],193676,73
Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",7510118,85
Dei V,"['trap latino', 'urbano latino']",1340740,82
Charlie Brown Jr.,"['brazilian rock', 'hard rock brasileiro', 'rock alternativo brasileiro', 'rock nacional brasileiro']",7453959,76
Cardi B,"['pop', 'rap']",24510799,81
Keinemusik,['melodic house'],318338,77
Tiago PZK,"['trap argentino', 'trap latino', 'urbano latino']",5348498,81
Luke Combs,"['contemporary country', 'country']",11500891,88
Jordan Adetunji,['irish hip hop'],168206,74
Tequila Tequila,[],91,0
Daya,"['alt z', 'pop']",1669472,72
ELENA ROSE,['r&b en espanol'],127161,71
Ryan Castro,"['reggaeton', 'trap colombiano', 'trap latino', 'urbano latino']",3042061,79
