artist,name,date,time,venue,location,price_range
Zion,Protoje meets Tippy I - In search of Zion - Dub Experience,2024-10-30,19:00:00,O2 Academy 2 Liverpool,"Liverpool, Great Britain",28.25-28.25 GBP
Zion,Protoje meets Tippy I- In search of Zion- Dub Experience,2024-11-02,19:00:00,O2 Institute2 Birmingham,"Birmingham, Great Britain",28.25-28.25 GBP
Zion,PROTOJE meets TIPPY I: in Search of Zion - the Dub Experience,2024-11-01,18:30:00,O2 Academy2 Oxford,"Oxford, Great Britain",28.25-28.25 GBP
Zion,Utah Tech Trailblazers Football vs. Austin Peay Governors Football,2024-10-19,14:00:00,Greater Zion Stadium,"Saint George, United States Of America",N/A
Zion,Utah Tech Trailblazers Football vs. Central Arkansas Bears Football,2024-11-02,14:00:00,Greater Zion Stadium,"Saint George, United States Of America",N/A
Zion,Utah Tech Trailblazers Football vs. West Georgia Wolves Football,2024-11-16,14:00:00,Greater Zion Stadium,"Saint George, United States Of America",N/A
Zion,Bearded Theory 2025,2025-05-22,09:00:00,Catton Hall and Gardens,"South Derbyshire, Great Britain",N/A
Zion,Zion Train - 35 urodziny!,2024-11-29,22:00:00,Stary Klasztor - Sala Witrażowa,"Wroclaw, Poland",N/A
Pink,P!NK: Summer Carnival 2024,2024-10-12,18:30:00,Lucas Oil Stadium,"Indianapolis, United States Of America",29.95-299.95 USD
Pink,P!NK Live 2024,2024-10-14,19:30:00,Little Caesars Arena,"Detroit, United States Of America",59.95-329.95 USD
Pink,P!NK Live 2024,2024-10-20,19:30:00,Pinnacle Bank Arena,"Lincoln, United States Of America",63.95-333.95 USD
Pink,P!NK Live 2024,2024-10-17,19:30:00,Xcel Energy Center,"Saint Paul, United States Of America",25.0-1054.95 USD
Pink,P!NK Live 2024,2024-10-18,19:30:00,Xcel Energy Center,"Saint Paul, United States Of America",64.95-1054.95 USD
Pink,P!NK Live 2024,2024-10-15,19:30:00,Little Caesars Arena,"Detroit, United States Of America",59.95-299.95 USD
Pink,P!NK Live 2024,2024-11-03,19:30:00,Moody Center ATX,"Austin, United States Of America",63.95-353.95 USD
Pink,P!NK Live 2024,2024-10-23,19:30:00,Fiserv Forum,"Milwaukee, United States Of America",59.95-329.95 USD
Pink,P!NK Live 2024,2024-10-21,19:30:00,Denny Sanford PREMIER Center,"Sioux Falls, United States Of America",157.95-360.95 USD
Pink,P!NK Live 2024,2024-11-08,19:30:00,BOK Center,"Tulsa, United States Of America",55.95-325.95 USD
Pink,P!NK Live 2024,2024-11-16,19:30:00,Legacy Arena at The BJCC ,"Birmingham, United States Of America",59.95-329.95 USD
Pink,P!NK Live 2024,2024-11-20,19:30:00,Colonial Life Arena,"Columbia, United States Of America",62.95-332.95 USD
Pink,P!NK Live 2024,2024-11-11,19:30:00,Lenovo Center,"Raleigh, United States Of America",59.95-329.95 USD
Pink,P!NK: Summer Carnival 2024,2024-11-06,18:30:00,Globe Life Field,"Arlington, United States Of America",30.0-374.95 USD
Pink,P!NK Live 2024,2024-11-14,19:30:00,State Farm Arena,"Atlanta, United States Of America",64.95-364.95 USD
Pink,P!NK Live 2024,2024-11-12,19:30:00,Lenovo Center,"Raleigh, United States Of America",59.95-299.95 USD
Pink,P!NK: Summer Carnival 2024,2024-11-18,18:30:00,Camping World Stadium,"Orlando, United States Of America",29.95-299.95 USD
Pink,P!NK Live 2024,2024-10-24,19:30:00,Wells Fargo Arena - Des Moines,"Des Moines, United States Of America",N/A
Pink,P!NK Live 2024,2024-10-24,19:30:00,Wells Fargo Arena,"Des Moines, United States Of America",N/A
Pink,P!NK: Summer Carnival 2024,2024-11-23,18:30:00,loanDepot park,"Miami, United States Of America",49.95-299.95 USD
Max McNown,Max McNown,2025-01-16,20:00:00,August Hall,"San Francisco, United States Of America",N/A
Max McNown,Max McNown,2025-02-16,18:30:00,The Atlantis,"Washington, United States Of America",20.0-20.0 USD
Max McNown,Max McNown,2025-02-23,20:00:00,Exit/In,"Nashville, United States Of America",27.37-27.37 USD
Max McNown,*SOLD OUT* Max McNown,2025-02-22,20:00:00,Exit/In,"Nashville, United States Of America",0.0-0.0 USD
Max McNown,Max McNown (18+ w/ ID),2025-01-14,19:00:00,Voodoo Room at the House of Blues San Diego,"San Diego, United States Of America",20.0-20.0 USD
Max McNown,Corey Kent - The Black Bandana Tour (18+),2024-10-19,19:00:00,Paradise Rock Club presented by Citizens,"Boston, United States Of America",22.0-30.0 USD
Max McNown,Corey Kent - The Black Bandana Tour,2024-11-21,20:00:00,Buckhead Theatre,"Atlanta, United States Of America",20.0-30.0 USD
Max McNown,Corey Kent - The Black Bandana Tour,2024-11-23,18:30:00,House of Blues Myrtle Beach,"North Myrtle Beach, United States Of America",20.0-30.0 USD
Max McNown,Sam Barber - Restless Mind Tour,2024-11-13,20:00:00,Mercury Ballroom,"Louisville, United States Of America",25.0-40.0 USD
Max McNown,Corey Kent: The Black Bandana Tour,2024-10-16,18:30:00,Gramercy Theatre,"New York, United States Of America",25.0-40.0 USD
Max McNown,Max McNown,2025-01-30,18:30:00,Barboza,"Seattle, United States Of America",N/A
Max McNown,Max McNown,2025-01-31,18:30:00,Barboza,"Seattle, United States Of America",N/A
Christina Aguilera,Christina Aguilera,2023-12-30,21:45:00,Voltaire at The Venetian Resor,"Las Vegas, United States Of America",N/A
Christina Aguilera,Saadiyat Nights - Christina Aguilera,2025-02-15,17:00:00,Saadiyat Island,"Abu Dhabi, United Arab Emirates",295.0-3100.0 AED
Christina Aguilera,Christina Aguilera Add-on,2023-12-30,21:45:00,Voltaire at The Venetian Resor,"Las Vegas, United States Of America",N/A
Angelina Mango,Angelina Mango,2024-11-03,19:00:00,O2 Academy Islington,"London, Great Britain",32.6-32.6 GBP
Angelina Mango,Angelina Mango - European Club Tour,2024-10-30,20:00:00,N/A,"Munich, Germany",30.0-30.0 EUR
Angelina Mango,Angelina Mango - European Club Tour,2024-11-01,20:00:00,N/A,"Cologne, Germany",30.0-30.0 EUR
Angelina Mango,Angelina Mango - European Club Tour,2024-11-06,20:00:00,N/A,"Frankfurt am Main, Germany",30.0-30.0 EUR
Angelina Mango,Angelina Mango - European Club Tour,2024-11-11,20:30:00,Sala Razzmatazz 2,"Barcelona, Spain",28.5-28.5 EUR
