artist,name,date,time,venue,location,price_range,source_date,city,country,min_price_EUR,max_price_EUR
Linkin Park,Tribute to Linkin Park + Tribute to Status Quo + Koyle,23-11-2024,20:00:00,Spirit of 66,"Verviers, Belgium",,20241011,Verviers,Belgium,,
Linkin Park,"Holiday Rockstars Tribute Night to Nickelback, Creed, Breaking Benjamin, Linkin Park, & Godsmack",20-12-2024,18:30:00,The Forge,"Joliet, United States Of America",10.0-25.0 USD,20241011,Joliet,United States Of America,9.5,23.75
Linkin Park,Linkin Park: From Zero World Tour,15-11-2024,15:00:00,Allianz Parque,"São Paulo, Brazil",,20241011,São Paulo,Brazil,,
Linkin Park,Linkin Park: From Zero World Tour,16-11-2024,15:00:00,Allianz Parque,"São Paulo, Brazil",,20241011,São Paulo,Brazil,,
Linkin Park,Nivrana - Tribute to Nirvana w/ The Linkin Park Tribute,13-03-2025,20:00:00,Canyon Club-CA,"Agoura Hills, United States Of America",,20241011,Agoura Hills,United States Of America,,
*NSYNC,Pop 2000 Tour with Chris Kirkpatrick of *NSYNC,17-11-2024,19:00:00,The Paramount,"Huntington, United States Of America",35.0-65.0 USD,20241011,Huntington,United States Of America,33.25,61.75
*NSYNC,"Pop 2000 Tour: Chris Kirkpatrick of *NSYNC, O-Town, Ryan Cabrera, LFO ",26-10-2024,20:00:00,Great Cedar Showroom at Foxwoods Resort Casino,"Ledyard, United States Of America",45.0-55.0 USD,20241011,Ledyard,United States Of America,42.75,52.25
*NSYNC,"BOY BAND REVIEW - Party Songs from NSYNC, BACKSTREET BOYS, NKOTB, ONE DIRECTION, JONAS BROTHERS, AND MORE!",24-01-2025,19:00:00,District 142,"Wyandotte, United States Of America",18.0-28.0 USD,20241011,Wyandotte,United States Of America,17.1,26.6
Zion,Zion Train,18-04-2025,19:00:00,The Camden Assembly,"London, Great Britain",,20241011,London,Great Britain,,
Zion,Protoje meets Tippy I - In search of Zion - Dub Experience,30-10-2024,19:00:00,O2 Academy 2 Liverpool,"Liverpool, Great Britain",28.25-28.25 GBP,20241011,Liverpool,Great Britain,32.77,32.77
Zion,Protoje meets Tippy I- In search of Zion- Dub Experience,02-11-2024,19:00:00,O2 Institute2 Birmingham,"Birmingham, Great Britain",28.25-28.25 GBP,20241011,Birmingham,Great Britain,32.77,32.77
Zion,PROTOJE meets TIPPY I: in Search of Zion - the Dub Experience,01-11-2024,18:30:00,O2 Academy2 Oxford,"Oxford, Great Britain",28.25-28.25 GBP,20241011,Oxford,Great Britain,32.77,32.77
Zion,Utah Tech Trailblazers Football vs. Austin Peay Governors Football,19-10-2024,14:00:00,Greater Zion Stadium,"Saint George, United States Of America",,20241011,Saint George,United States Of America,,
Zion,Utah Tech Trailblazers Football vs. Central Arkansas Bears Football,02-11-2024,14:00:00,Greater Zion Stadium,"Saint George, United States Of America",,20241011,Saint George,United States Of America,,
Zion,Utah Tech Trailblazers Football vs. West Georgia Wolves Football,16-11-2024,14:00:00,Greater Zion Stadium,"Saint George, United States Of America",,20241011,Saint George,United States Of America,,
Zion,Bearded Theory 2025,22-05-2025,09:00:00,Catton Hall and Gardens,"South Derbyshire, Great Britain",,20241011,South Derbyshire,Great Britain,,
Zion,Zion Train - 35 urodziny!,29-11-2024,22:00:00,Stary Klasztor - Sala Witrażowa,"Wroclaw, Poland",,20241011,Wroclaw,Poland,,
Pink,P!NK: Summer Carnival 2024,12-10-2024,18:30:00,Lucas Oil Stadium,"Indianapolis, United States Of America",29.95-299.95 USD,20241011,Indianapolis,United States Of America,28.45,284.95
Pink,P!NK Live 2024,14-10-2024,19:30:00,Little Caesars Arena,"Detroit, United States Of America",59.95-329.95 USD,20241011,Detroit,United States Of America,56.95,313.45
Pink,P!NK Live 2024,20-10-2024,19:30:00,Pinnacle Bank Arena,"Lincoln, United States Of America",63.95-333.95 USD,20241011,Lincoln,United States Of America,60.75,317.25
Pink,P!NK Live 2024,17-10-2024,19:30:00,Xcel Energy Center,"Saint Paul, United States Of America",25.0-1054.95 USD,20241011,Saint Paul,United States Of America,23.75,1002.2
